simple_taxonomy,simple_environment
OP11,Uranium Contaminated Groundwater
OP11,Uranium Contaminated Groundwater
OP11,Uranium Contaminated Groundwater
OP11,Uranium Contaminated Groundwater
OP11,Uranium Contaminated Groundwater
OP11,Uranium Contaminated Groundwater
TM7,Uranium Contaminated Groundwater
OD1,Uranium Contaminated Groundwater
OD1,Uranium Contaminated Groundwater
OD1,Uranium Contaminated Groundwater
OD1,Uranium Contaminated Groundwater
OD1,Uranium Contaminated Groundwater
OD1,Uranium Contaminated Groundwater
WWE3,Uranium Contaminated Groundwater
OP11,Uranium Contaminated Groundwater
OP11,Uranium Contaminated Groundwater
OP11,Uranium Contaminated Groundwater
Nitrospirae,Uranium Contaminated Groundwater
TM7,Fertilized Topsoil
SR1,Fertilized Topsoil
WWE3,Fertilized Topsoil
WS2,Contaminated Groundwater
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Marine
SAR406 (Marine Group A),Deep Ocean
SAR406 (Marine Group A),Deep Ocean
SAR406 (Marine Group A),Deep Ocean
SAR406 (Marine Group A),Deep Ocean
SAR406 (Marine Group A),Deep Ocean
OP3,Anoxic Paddy Soil
OP3,Anoxic Paddy Soil
OP3,Anoxic Paddy Soil
Proteobacteria,Deep Ocean
Proteobacteria,Deep Ocean
Firmicutes,Marine
Gracilibacteria,Marine
Proteobacteria,Marine
Proteobacteria,Marine
Actinobacteria,Bioreactor
Proteobacteria,Bioreactor
Proteobacteria,Bioreactor
Proteobacteria,Bioreactor
Proteobacteria,Bioreactor
Proteobacteria,Bioreactor
Bacteroidetes,Bioreactor
Proteobacteria,Bioreactor
Bacteroidetes,Bioreactor
Proteobacteria,Bioreactor
Proteobacteria,Bioreactor
Proteobacteria,Bioreactor
Proteobacteria,Bioreactor
Actinobacteria,Hypersaline Frozen Lake
Actinobacteria,Hypersaline Frozen Lake
Actinobacteria,Hypersaline Frozen Lake
Proteobacteria,Hypersaline Frozen Lake
Proteobacteria,Hypersaline Frozen Lake
Proteobacteria,Hypersaline Frozen Lake
Proteobacteria,Hypersaline Frozen Lake
Proteobacteria,Hypersaline Frozen Lake
Proteobacteria,Hypersaline Frozen Lake
Actinobacteria,Hypersaline Frozen Lake
Actinobacteria,Contaminated Groundwater
Bacteroidetes,Contaminated Groundwater
Proteobacteria,Costal Marine
Proteobacteria,Costal Marine
Proteobacteria,Costal Marine
Nanoarchaeota,Submarine Hot Vent
Actinobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Unclassified Bacteria,Glacier
Firmicutes,Glacier
Proteobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Actinobacteria,Glacier
Bacteroidetes,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Bacteroidetes,Glacier
Actinobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Actinobacteria,Glacier
Actinobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Firmicutes,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Bacteroidetes,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Actinobacteria,Glacier
Proteobacteria,Glacier
Proteobacteria,Glacier
Firmicutes,Glacier
Firmicutes,Glacier
Firmicutes,Glacier
Firmicutes,Glacier
Actinobacteria,Glacier
Firmicutes,Glacier
Proteobacteria,Glacier
Firmicutes,Glacier
Actinobacteria,Glacier
Proteobacteria,Glacier
Firmicutes,Glacier
Firmicutes,Glacier
Firmicutes,Glacier
Actinobacteria,Glacier
Parvarchaeota,Acid Mine Drainage Biofilm
Nanoarchaeota,Geothermal Pool
Saccharibacteria,Human Oral Cavity
Crenarchaeota,Geothermal Pool
Proteobacteria,Marine Redox Zone
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Gammaproteobacteria,Acidic Lake
Gammaproteobacteria,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Unclassified Archaea,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Unclassified Bacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Betaproteobacteria,Acidic Lake
Alphaproteobacteria,Acidic Lake
Alphaproteobacteria,Acidic Lake
Alphaproteobacteria,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Euryarchaeota,Acidic Lake
Actinobacteria,Freshwater River
Proteobacteria,Glacier
Proteobacteria,NA
Melainabacteria,Freshwater Lake
Proteobacteria,Sediment
Proteobacteria,Sediment
Bacteroidetes,Sediment
Bacteroidetes,Sediment
Proteobacteria,Ultrapure Water
Proteobacteria,Glacier
Proteobacteria,Ultrapure Water
Saccharibacteria,Human
